Date,Filings
2017-12-26,30
2017-12-27,245
2017-12-28,216
2017-12-29,303
2018-01-01,10
2018-01-02,166
2018-01-03,169
2018-01-04,149
2018-01-05,161
2018-01-08,183
2018-01-09,359
2018-01-10,214
2018-01-11,155
2018-01-12,169
2018-01-15,181
2018-01-16,162
2018-01-17,175
2018-01-18,158
2018-01-19,167
2018-01-22,147
2018-01-23,184
2018-01-24,134
2018-01-25,211
2018-01-26,200
2018-01-29,140
2018-01-30,164
2018-01-31,176
2018-02-01,235
2018-02-02,206
2018-02-05,142
2018-02-06,188
2018-02-07,243
2018-02-08,215
2018-02-09,238
2018-02-12,231
2018-02-13,288
2018-02-14,267
2018-02-15,426
2018-02-16,563
2018-02-19,280
2018-02-20,256
2018-02-21,282
2018-02-22,256
2018-02-23,305
2018-02-26,346
2018-02-27,372
2018-02-28,363
2018-03-01,399
2018-03-02,237
2018-03-05,332
2018-03-06,272
2018-03-07,433
2018-03-08,386
2018-03-09,299
2018-03-12,353
2018-03-13,335
2018-03-14,338
2018-03-15,426
2018-03-16,314
2018-03-19,276
2018-03-20,310
2018-03-21,273
2018-03-22,441
2018-03-23,345
2018-03-26,303
2018-03-27,286
2018-03-28,238
2018-03-29,298
2018-03-30,57
2018-04-02,40
2018-04-03,419
2018-04-04,230
2018-04-05,352
2018-04-06,214
2018-04-09,258
2018-04-10,337
2018-04-11,262
2018-04-12,119
2018-04-13,173
2018-04-16,223
2018-04-17,165
2018-04-18,187
2018-04-19,209
2018-04-20,303
2018-04-23,176
2018-04-24,224
2018-04-25,188
2018-04-26,271
2018-04-27,215
2018-04-30,213
2018-05-01,36
2018-05-02,206
2018-05-03,283
2018-05-04,299
2018-05-07,284
2018-05-08,365
2018-05-09,355
2018-05-10,164
2018-05-11,251
2018-05-14,282
2018-05-15,278
2018-05-16,249
2018-05-17,222
2018-05-18,216
2018-05-21,161
2018-05-22,202
2018-05-23,145
2018-05-24,203
2018-05-25,323
2018-05-28,319
2018-05-29,407
2018-05-30,370
2018-05-31,338
2018-06-01,500
2018-06-04,367
2018-06-05,256
2018-06-06,214
2018-06-07,435
2018-06-08,357
2018-06-11,222
2018-06-12,165
2018-06-13,223
2018-06-14,254
2018-06-15,282
2018-06-18,291
2018-06-19,217
2018-06-20,257
2018-06-21,178
2018-06-22,113
2018-06-25,303
2018-06-26,204
2018-06-27,171
2018-06-28,274
2018-06-29,272
2018-07-02,247
2018-07-03,183
2018-07-04,233
2018-07-05,151
2018-07-06,191
2018-07-09,133
2018-07-10,162
2018-07-11,162
2018-07-12,155
2018-07-13,184
2018-07-16,137
2018-07-17,147
2018-07-18,114
2018-07-19,118
2018-07-20,169
2018-07-23,145
2018-07-24,182
2018-07-25,205
2018-07-26,250
2018-07-27,183
2018-07-30,165
2018-07-31,215
2018-08-01,176
2018-08-02,207
2018-08-03,285
2018-08-06,149
2018-08-07,206
2018-08-08,110
2018-08-09,123
2018-08-10,95
2018-08-13,90
2018-08-14,137
2018-08-15,154
2018-08-16,149
2018-08-17,173
2018-08-20,181
2018-08-21,157
2018-08-22,135
2018-08-23,139
2018-08-24,162
2018-08-27,168
2018-08-28,158
2018-08-29,185
2018-08-30,191
2018-08-31,226
2018-09-03,280
2018-09-04,333
2018-09-05,250
2018-09-06,238
2018-09-07,171
2018-09-10,219
2018-09-11,218
2018-09-12,246
2018-09-13,223
2018-09-14,377
2018-09-17,276
2018-09-18,332
2018-09-19,375
2018-09-20,268
2018-09-21,243
2018-09-24,117
2018-09-25,131
2018-09-26,130
2018-09-27,202
2018-09-28,161
2018-10-01,184
2018-10-02,225
2018-10-03,161
2018-10-04,222
2018-10-05,232
2018-10-08,181
2018-10-09,246
2018-10-10,226
2018-10-11,284
2018-10-12,256
2018-10-15,199
2018-10-16,103
2018-10-17,123
2018-10-18,135
2018-10-19,254
2018-10-22,171
2018-10-23,193
2018-10-24,113
2018-10-25,172
2018-10-26,387
2018-10-29,236
2018-10-30,230
2018-10-31,222
2018-11-01,134
2018-11-02,219
2018-11-05,142
2018-11-06,196
2018-11-07,219
2018-11-08,192
2018-11-09,229
2018-11-12,397
2018-11-13,427
2018-11-14,282
2018-11-15,298
2018-11-16,233
2018-11-19,158
2018-11-20,273
2018-11-21,251
2018-11-22,258
2018-11-23,247
2018-11-26,273
2018-11-27,289
2018-11-28,257
2018-11-29,282
2018-11-30,320
2018-12-03,410
2018-12-04,318
2018-12-05,259
2018-12-06,300
2018-12-07,253
2018-12-10,242
2018-12-11,217
2018-12-12,261
2018-12-13,316
2018-12-14,372
2018-12-17,246
2018-12-18,256
2018-12-19,276
2018-12-20,275
2018-12-21,324
2018-12-24,73
2018-12-25,16
2018-12-26,22
2018-12-27,242
2018-12-28,275
2018-12-31,142
2019-01-01,4
2019-01-02,146
2019-01-03,214
2019-01-04,119
2019-01-07,115
2019-01-08,131
2019-01-09,107
2019-01-10,161
2019-01-11,162
2019-01-14,89
2019-01-15,139
2019-01-16,90
2019-01-17,85
2019-01-18,99
2019-01-21,78
2019-01-22,105
2019-01-23,97
2019-01-24,166
2019-01-25,153
2019-01-28,129
2019-01-29,154
2019-01-30,104
2019-01-31,183
2019-02-01,153
2019-02-04,99
2019-02-05,133
2019-02-06,121
2019-02-07,132
2019-02-08,105
2019-02-11,183
2019-02-12,175
2019-02-13,196
2019-02-14,213
2019-02-15,336
2019-02-18,125
2019-02-19,141
2019-02-20,137
2019-02-21,76
2019-02-22,95
2019-02-25,100
2019-02-26,81
2019-02-27,148
2019-02-28,212
2019-03-01,366
2019-03-04,285
2019-03-05,353
2019-03-06,279
2019-03-07,452
2019-03-08,315
2019-03-11,262
2019-03-12,316
2019-03-13,310
2019-03-14,309
2019-03-15,315
2019-03-18,316
2019-03-19,340
2019-03-20,180
