date,Sentiment Index
2016-09-01,-0.766336794172737
2016-09-02,-0.7761185667294519
2016-09-06,-0.777204955863
2016-09-07,-0.7788398995484863
2016-09-08,-0.7718425911151324
2016-09-09,-0.744321722984185
2016-09-12,-0.7377807036371969
2016-09-13,-0.7292102467403166
2016-09-14,-0.7295467366500917
2016-09-15,-0.7214947505242157
2016-09-16,-0.7152441855416861
2016-09-19,-0.7082677953980828
2016-09-20,-0.7061259765086914
2016-09-21,-0.7101681263165104
2016-09-22,-0.7058824644660806
2016-09-23,-0.7004886673911962
2016-09-26,-0.701157612988083
2016-09-27,-0.6970532778932406
2016-09-28,-0.6929712298189237
2016-09-29,-0.6856229653724658
2016-09-30,-0.6557379582606155
2016-10-03,-0.6671129744363042
2016-10-04,-0.6634147040182933
2016-10-05,-0.666286120503688
