date,Buy,Sell,All Buy (cash and derivative)
2017-04-28,28,-108,96
2017-05-01,24,-237,181
2017-05-02,17,-129,89
2017-05-03,24,-120,101
2017-05-04,26,-131,105
2017-05-05,24,-131,113
2017-05-08,39,-154,133
2017-05-09,28,-164,116
2017-05-10,24,-158,116
2017-05-11,39,-126,114
2017-05-12,45,-134,131
2017-05-15,37,-229,170
2017-05-16,36,-149,126
2017-05-17,41,-100,98
2017-05-18,34,-101,92
2017-05-19,23,-105,77
2017-05-22,24,-124,89
2017-05-23,27,-113,92
2017-05-24,17,-107,82
2017-05-25,10,-66,51
2017-05-26,14,-41,34
2017-05-30,36,-138,104
2017-05-31,32,-115,114
2017-06-01,26,-237,176
2017-06-02,24,-154,112
2017-06-05,16,-140,84
2017-06-06,15,-96,70
2017-06-07,12,-117,71
2017-06-08,15,-133,87
2017-06-09,23,-139,107
2017-06-12,15,-149,88
2017-06-13,15,-117,79
2017-06-14,17,-102,72
2017-06-15,24,-141,118
2017-06-16,13,-57,53
2017-06-19,6,-87,52
2017-06-20,13,-72,55
2017-06-21,15,-49,47
2017-06-22,12,-58,50
2017-06-23,16,-61,41
2017-06-26,12,-51,46
2017-06-27,10,-61,42
2017-06-28,7,-54,34
2017-06-29,8,-42,34
2017-06-30,5,-15,19
2017-07-03,4,-82,40
2017-07-05,11,-79,56
2017-07-06,6,-41,24
2017-07-07,6,-42,35
2017-07-10,6,-69,50
2017-07-11,5,-47,40
2017-07-12,3,-62,36
2017-07-13,6,-42,29
2017-07-14,8,-46,38
2017-07-17,10,-100,66
2017-07-18,4,-39,23
2017-07-19,6,-47,36
2017-07-20,9,-55,40
2017-07-21,14,-37,40
2017-07-24,17,-67,59
2017-07-25,11,-70,55
2017-07-26,9,-60,42
2017-07-27,11,-70,51
2017-07-28,20,-71,63
2017-07-31,23,-122,97
2017-08-01,28,-208,161
2017-08-02,18,-95,70
2017-08-03,24,-100,88
2017-08-04,18,-125,85
2017-08-07,29,-168,114
2017-08-08,24,-132,86
2017-08-09,29,-97,88
2017-08-10,42,-113,95
2017-08-11,60,-74,102
2017-08-14,39,-157,116
2017-08-15,40,-181,152
2017-08-16,30,-89,70
2017-08-17,40,-85,82
2017-08-18,41,-68,67
2017-08-21,34,-106,74
2017-08-22,30,-95,79
2017-08-23,26,-88,62
2017-08-24,23,-83,63
2017-08-25,25,-84,80
2017-08-28,17,-94,61
2017-08-29,26,-75,72
2017-08-30,13,-91,55
2017-08-31,8,-69,44
2017-09-01,12,-108,72
2017-09-05,17,-133,82
2017-09-06,22,-100,73
2017-09-07,29,-93,78
2017-09-08,20,-81,73
2017-09-11,19,-137,86
2017-09-12,14,-128,73
2017-09-13,14,-81,49
2017-09-14,19,-90,67
2017-09-15,22,-120,102
2017-09-18,6,-113,42
2017-09-19,7,-72,44
2017-09-20,4,-87,47
2017-09-21,4,-52,33
2017-09-22,5,-61,32
2017-09-25,7,-73,37
2017-09-26,6,-66,42
2017-09-27,2,-87,46
2017-09-28,4,-72,52
2017-09-29,8,-80,55
2017-10-02,10,-232,118
2017-10-03,7,-66,50
2017-10-04,3,-59,35
2017-10-05,0,-37,20
2017-10-06,5,-36,27
2017-10-09,2,-65,31
2017-10-10,7,-63,47
2017-10-11,6,-46,28
2017-10-12,6,-56,43
2017-10-13,6,-47,30
2017-10-16,13,-97,64
2017-10-17,5,-41,31
2017-10-18,5,-54,33
2017-10-19,6,-32,28
2017-10-20,5,-60,37
2017-10-23,5,-68,37
2017-10-24,3,-59,36
2017-10-25,9,-58,44
2017-10-26,6,-80,56
2017-10-27,11,-85,67
2017-10-30,15,-106,76
2017-10-31,16,-122,74
2017-11-01,14,-197,140
2017-11-02,13,-129,85
2017-11-03,14,-118,99
2017-11-06,32,-156,114
2017-11-07,24,-128,85
2017-11-08,19,-61,54
2017-11-09,30,-112,103
2017-11-10,38,-123,106
2017-11-13,47,-155,138
2017-11-14,29,-138,91
