Date,Executive Board,Executive Committee,None Executive,Significant Shareholders
2016-03-15,41.78743961352657,23.067632850241548,13.798309178743965,21.346618357487923
2016-03-16,42.109982068141065,22.474596533173937,14.584578601315004,20.830842797369993
2016-03-17,43.53846153846154,20.584615384615386,14.584615384615388,21.292307692307695
2016-03-18,43.87407827566648,21.298922291548497,14.180374361883155,20.646625070901877
2016-03-19,45.785070785070786,22.32947232947233,14.446589446589448,17.43886743886744
2016-03-21,44.929356357927794,19.968602825745688,15.070643642072215,20.03139717425432
2016-03-22,43.689320388349515,20.920764171625432,14.75101785155027,20.638897588474787
2016-03-23,44.45512820512821,20.673076923076923,15.320512820512821,19.55128205128205
2016-03-24,41.35262449528937,21.567967698519517,16.756393001345895,20.323014804845222
2016-03-25,42.61221945137157,20.635910224438902,16.209476309226932,20.542394014962593
2016-03-26,43.04029304029304,21.428571428571427,17.28937728937729,18.24175824175824
2016-03-28,43.96173774412116,21.32323634914308,17.616580310880828,17.098445595854923
2016-03-29,43.95516413130505,20.45636509207366,17.053642914331466,18.534827862289834
2016-03-30,43.6951316839585,21.069433359936156,16.440542697525938,18.79489225857941
2016-03-31,44.30794430794431,20.515970515970515,17.362817362817363,17.813267813267814
2016-04-01,43.71584699453552,21.238615664845174,17.81420765027322,17.231329690346083
2016-04-02,45.407052677405304,23.117109272964733,16.93513278188942,14.540705267740531
2016-04-04,46.29394324438797,20.626853028377806,17.662007623888183,15.417196103346043
2016-04-05,47.01144552776601,21.916066129715983,16.193302246714712,14.879186095803307
2016-04-06,46.884666372072466,21.652673442333185,15.64295183384887,15.81970835174547
2016-04-07,45.997346306943825,22.379478107032284,17.293233082706767,14.329942503317113
2016-04-08,45.39316918189038,21.127879269261317,17.6330420969023,15.845909451945989
2016-04-11,44.80591497227357,20.88724584103512,16.931608133086876,17.375231053604438
2016-04-12,45.5278310940499,20.57581573896353,17.197696737044147,16.698656429942417
2016-04-13,44.98420221169036,19.747235387045812,17.733017377567144,17.535545023696685
2016-04-14,46.64239482200647,18.36569579288026,17.354368932038835,17.637540453074433
2016-04-15,47.14346170122725,16.800677105374525,17.22386796445197,18.831993228946253
2016-04-18,46.60700969425802,17.225950782997764,17.56152125279642,18.6055182699478
2016-04-19,47.022187621642665,17.711171662125345,17.866874270144027,17.399766446087973
2016-04-20,47.125050261359064,15.359871330920786,18.69722557297949,18.817852834740652
2016-04-21,46.75060926076361,15.800162469536962,19.25264012997563,18.1965881397238
2016-04-22,46.735537190082646,15.74380165289256,18.884297520661157,18.636363636363637
2016-04-23,47.711511789181685,16.412390198797965,18.49283402681461,17.38326398520573
2016-04-25,48.49221789883269,16.585603112840467,19.990272373540858,14.931906614785992
2016-04-26,48.34630350194553,15.856031128404668,19.941634241245136,15.856031128404668
2016-04-27,46.864528482527525,15.653422690282431,19.722355193872666,17.75969363331738
2016-04-28,43.18826868495743,16.035950804162724,19.77294228949858,21.002838221381268
2016-04-29,43.65367180417044,17.225747960108794,19.31097008159565,19.809610154125114
2016-04-30,43.562795585916966,16.552811350499212,19.022595901208618,20.861797162375197
2016-05-02,43.485169491525426,18.061440677966104,17.690677966101696,20.76271186440678
2016-05-03,42.69899841855561,19.293621507643646,18.186610437532945,19.820769636267787
2016-05-04,41.63645779388918,20.455722423614702,17.65924391506991,20.2485758674262
2016-05-05,39.66649823143001,20.26275896917635,18.29206670035371,21.778676099039917
2016-05-06,40.31510658016681,20.06487488415199,18.072289156626503,21.54772937905468
2016-05-07,39.351620947630934,20.399002493765586,18.004987531172073,22.244389027431424
2016-05-09,39.807228915662655,22.36144578313253,17.87951807228916,19.951807228915662
2016-05-10,39.44522802068641,23.695345557122707,19.322990126939352,17.536436295251526
2016-05-11,40.925925925925924,24.629629629629633,19.768518518518523,14.675925925925926
2016-05-12,42.26078799249531,23.17073170731707,19.465290806754222,15.103189493433398
2016-05-13,42.92275574112735,23.298538622129435,19.457202505219207,14.321503131524008
2016-05-14,42.63913824057451,22.800718132854577,19.748653500897667,14.811490125673252
2016-05-16,41.65599658557405,23.431498079385403,19.97439180537772,14.938113529662825
2016-05-17,42.330762639245926,22.065124250214225,20.265638389031704,15.338474721508142
2016-05-18,42.9776465626318,24.040489245044284,19.78068325601012,13.201180936313788
2016-05-19,42.2824302134647,25.287356321839084,20.443349753694584,11.986863711001645
2016-05-20,42.4310216256525,24.60850111856823,21.364653243847876,11.595824011931395
2016-05-21,42.40816326530613,24.0,21.591836734693878,12.0
2016-05-22,43.71011850501368,23.883318140382862,20.783956244302644,11.622607110300823
2016-05-23,44.90460679385762,22.615169846440207,21.405304792926945,11.074918566775246
2016-05-24,42.16919739696313,25.856832971800436,22.125813449023866,9.848156182212582
2016-05-25,42.17830109335576,24.726661059714043,22.245584524810766,10.849453322119427
2016-05-26,41.83055975794251,24.659606656580937,22.541603630862326,10.96822995461422
2016-05-27,42.83524904214559,23.2183908045977,22.835249042145588,11.111111111111109
2016-05-28,42.88685524126456,23.710482529118135,22.87853577371048,10.52412645590682
