Date,Director,Officer,Significant owner
2016 - Mar,40.476190476190474,35.714285714285715,23.809523809523807
2016 - Mar,38.126512270998965,27.27272727272727,34.60076045627377
2016 - Mar,39.14297486608982,28.224145035022662,32.63288009888752
2016 - Mar,39.512584898122256,31.242508989212947,29.244906112664804
2016 - Mar,45.61845286059629,34.669621273166804,19.711925866236907
2016 - Apr,45.381993515670466,33.97622412503117,20.641782359298364
2016 - Apr,37.5,41.28787878787879,21.21212121212121
2016 - Apr,40.43321299638989,26.714801444043324,32.851985559566785
2016 - Apr,44.35857805255023,35.66460587326121,19.976816074188562
2016 - Apr,44.16058394160584,32.690302398331596,23.149113660062564
2016 - Apr,39.71871968962173,32.54122211445199,27.740058195926288
2016 - Apr,40.924313462826525,33.82451440053583,25.25117213663764
2016 - Apr,37.74294670846395,42.88401253918495,19.3730407523511
2016 - Apr,34.710743801652896,42.97520661157025,22.31404958677686
2016 - Apr,37.696335078534034,37.17277486910995,25.13089005235602
2016 - Apr,42.69782262347318,35.79394583112055,21.508231545406268
2016 - Apr,36.07411696583671,40.18529241459178,23.74059061957151
2016 - Apr,42.05128205128205,35.0,22.94871794871795
2016 - Apr,37.49170537491705,32.58128732581287,29.927007299270077
2016 - Apr,41.38171667829728,31.565480344266106,27.052802977436613
2016 - Apr,45.3125,31.25,23.4375
2016 - Apr,36.55913978494624,41.935483870967744,21.50537634408602
2016 - Apr,43.95365677045619,28.747284576393916,27.299058653149892
2016 - Apr,46.48478488982162,29.485834207764956,24.02938090241343
2016 - Apr,48.45626072041166,26.758147512864493,24.78559176672384
2016 - Apr,50.74357818837314,26.813880126182966,22.442541685443892
2016 - Apr,48.562848562848565,25.954525954525952,25.482625482625483
2016 - Apr,48.38709677419355,16.129032258064516,35.483870967741936
2016 - Apr,41.0,28.000000000000004,31.0
2016 - Apr,47.636496885305974,24.917552216929277,27.44595089776475
2016 - Apr,42.592592592592595,19.93094789704959,37.47645951035782
2016 - Apr,41.389934953782955,28.24375213967819,30.366312906538855
2016 - Apr,42.34289200732154,30.567419158023185,27.089688834655277
2016 - Apr,44.21875,28.638392857142858,27.142857142857142
2016 - Apr,45.053763440860216,24.946236559139784,30.0
2016 - May,45.22292993630573,26.804670912951167,27.9723991507431
