Date,Transactions,Filings
2019 - Nov,9290,3062
2019 - Nov,7426,2418
2019 - Nov,10658,3170
2019 - Nov,7272,2434
2019 - Nov,5796,2232
2019 - Nov,8156,2746
2019 - Nov,7090,2194
2019 - Nov,4036,1514
2019 - Nov,300,136
2019 - Nov,6702,2084
2019 - Dec,9822,3716
2019 - Dec,8394,2456
2019 - Dec,7720,2332
2019 - Dec,9316,2512
2019 - Dec,9000,2666
2019 - Dec,11752,2812
2019 - Dec,9046,3138
2019 - Dec,7198,2174
2019 - Dec,9150,2972
2019 - Dec,9286,3364
2019 - Dec,14936,4312
2019 - Dec,7508,2306
2019 - Dec,6717,2487
2019 - Dec,8008,2422
2019 - Dec,7858,2388
2019 - Dec,4552,1584
2019 - Dec,2536,772
2019 - Dec,4,4
2019 - Dec,3387,1009
2019 - Dec,3496,1324
2019 - Dec,4970,1701
2019 - Dec,40802,13757
2020 - Jan,13073,5811
2020 - Jan,25979,11065
2020 - Jan,8272,2656
2020 - Jan,6322,2418
2020 - Jan,3706,1320
2020 - Jan,5456,1798
2020 - Jan,4420,1616
2020 - Jan,4848,1792
2020 - Jan,5690,1874
2020 - Jan,4244,1524
2020 - Jan,11732,4316
2020 - Jan,6412,2096
2020 - Jan,6062,2172
2020 - Jan,512,392
2020 - Jan,7118,2512
2020 - Jan,6624,2228
2020 - Jan,7960,2694
2020 - Jan,6468,1754
2020 - Jan,6416,1996
2020 - Jan,5178,2112
2020 - Jan,6512,2484
2020 - Jan,8752,3050
2020 - Jan,17168,5714
2020 - Feb,14762,4954
2020 - Feb,10488,3482
2020 - Feb,11320,3794
2020 - Feb,12350,3932
2020 - Feb,10538,3232
2020 - Feb,13114,3970
2020 - Feb,3782,1082
2020 - Feb,864,286
