Date,Transactions,Filings
2017 - Sep,7366,2190
2017 - Sep,4564,1639
2017 - Sep,5046,1872
2017 - Sep,11692,3752
2017 - Sep,4938,1920
2017 - Sep,5624,1936
2017 - Sep,4930,1628
2017 - Sep,3856,1386
2017 - Sep,4146,1468
2017 - Sep,4846,1582
2017 - Sep,7040,2012
2017 - Sep,4789,1833
2017 - Sep,4540,1658
2017 - Sep,13325,5541
2017 - Oct,16050,6687
2017 - Oct,6540,2064
2017 - Oct,5696,1594
2017 - Oct,4432,1474
2017 - Oct,5218,1554
2017 - Oct,4462,1284
2017 - Oct,6302,1904
2017 - Oct,5988,1436
2017 - Oct,3848,1170
2017 - Oct,5010,1768
2017 - Oct,8917,2755
2017 - Oct,3758,1382
2017 - Oct,3554,1350
2017 - Oct,3094,1104
2017 - Oct,4630,1392
2017 - Oct,4498,1568
2017 - Oct,3304,1116
2017 - Oct,4182,1510
2017 - Oct,9305,2323
2017 - Oct,6038,2036
2017 - Oct,6562,2116
2017 - Oct,11976,3210
2017 - Nov,15408,5080
2017 - Nov,8636,2506
2017 - Nov,7760,2156
2017 - Nov,7312,2496
2017 - Nov,8578,2608
2017 - Nov,8236,2772
2017 - Nov,6944,2382
2017 - Nov,8174,2820
2017 - Nov,9158,2922
2017 - Nov,9262,2926
2017 - Nov,16084,5228
2017 - Nov,10392,3644
2017 - Nov,10794,3146
2017 - Nov,12301,3507
2017 - Nov,8170,2776
2017 - Nov,5696,1836
2017 - Nov,980,184
2017 - Nov,2632,780
2017 - Nov,7828,2244
2017 - Nov,8330,2454
2017 - Nov,8966,2532
2017 - Nov,14072,4451
2017 - Dec,15934,5360
2017 - Dec,8484,2634
2017 - Dec,7180,2438
2017 - Dec,8448,2500
2017 - Dec,8870,2916
2017 - Dec,9410,3370
2017 - Dec,10390,2816
2017 - Dec,11064,3450
2017 - Dec,8188,2561
2017 - Dec,10990,3010
2017 - Dec,17622,5842
2017 - Dec,7380,2326
2017 - Dec,6946,2132
2017 - Dec,7444,2623
2017 - Dec,6726,2170
2017 - Dec,5088,1722
2017 - Dec,14,10
2017 - Dec,4864,1162
2017 - Dec,5732,1490
2017 - Dec,5406,1732
2017 - Dec,17024,6136
2018 - Jan,14763,5987
2018 - Jan,26498,11091
2018 - Jan,9402,3178
2018 - Jan,6604,2298
2018 - Jan,7304,2507
2018 - Jan,6062,2106
2018 - Jan,4494,1333
2018 - Jan,5012,1796
2018 - Jan,3946,1334
2018 - Jan,7714,2696
2018 - Jan,3890,1358
2018 - Jan,11636,3966
2018 - Jan,7893,2368
2018 - Jan,6036,2178
2018 - Jan,7866,2028
2018 - Jan,8170,2647
2018 - Jan,6942,2446
2018 - Jan,7147,1891
2018 - Jan,6052,1783
2018 - Jan,4725,1309
2018 - Jan,4198,1389
2018 - Jan,5136,1549
2018 - Jan,8382,2903
2018 - Feb,10912,3245
2018 - Feb,5713,1690
2018 - Feb,5130,1730
2018 - Feb,5738,1860
2018 - Feb,4769,1809
2018 - Feb,6413,1933
2018 - Feb,6352,1874
2018 - Feb,5821,2105
2018 - Feb,8167,2488
2018 - Feb,6853,2240
2018 - Feb,14857,4169
2018 - Feb,7353,2434
2018 - Feb,1950,656
2018 - Feb,11247,3228
2018 - Feb,7973,2560
2018 - Feb,8872,2953
2018 - Feb,7728,2369
2018 - Feb,8657,2739
2018 - Feb,8254,2503
2018 - Feb,10439,3901
2018 - Mar,19735,6123
2018 - Mar,8861,2487
2018 - Mar,7122,2181
2018 - Mar,7473,2405
2018 - Mar,6862,2075
2018 - Mar,5938,2006
2018 - Mar,8116,2595
2018 - Mar,5016,1711
2018 - Mar,5680,1796
2018 - Mar,5325,1690
2018 - Mar,11272,3706
