Date,Filings
2018-01-29,315
2018-01-30,277
2018-01-31,313
2018-02-01,848
2018-02-02,417
2018-02-05,292
2018-02-06,408
2018-02-07,313
2018-02-08,283
2018-02-09,191
2018-02-12,234
2018-02-13,264
2018-02-14,354
2018-02-15,241
2018-02-16,243
2018-02-19,295
2018-02-20,234
2018-02-21,272
2018-02-22,1089
2018-02-23,346
2018-02-26,405
2018-02-27,372
2018-02-28,385
2018-03-01,413
2018-03-02,348
2018-03-05,377
2018-03-06,417
2018-03-07,406
2018-03-08,348
2018-03-09,468
2018-03-12,568
2018-03-13,518
2018-03-14,413
2018-03-15,336
2018-03-16,460
2018-03-19,407
2018-03-20,513
2018-03-21,383
2018-03-22,775
2018-03-23,383
2018-03-26,484
2018-03-27,402
2018-03-28,418
2018-03-29,246
2018-03-30,189
2018-04-02,294
2018-04-03,328
2018-04-04,332
2018-04-05,371
2018-04-06,349
2018-04-09,294
2018-04-10,342
2018-04-11,300
2018-04-12,286
2018-04-13,303
2018-04-16,258
2018-04-17,345
2018-04-18,357
2018-04-19,288
2018-04-20,318
2018-04-23,292
2018-04-24,286
2018-04-25,294
2018-04-26,828
2018-04-27,350
2018-04-30,326
2018-05-01,38
2018-05-02,457
2018-05-03,510
2018-05-04,438
2018-05-07,314
2018-05-08,325
2018-05-09,430
2018-05-10,295
2018-05-11,417
2018-05-14,393
2018-05-15,519
2018-05-16,431
2018-05-17,306
2018-05-18,394
2018-05-21,425
2018-05-22,238
2018-05-23,310
2018-05-24,361
2018-05-25,640
2018-05-28,375
2018-05-29,355
2018-05-30,1679
2018-05-31,503
2018-06-01,461
2018-06-04,456
2018-06-05,424
2018-06-06,450
2018-06-07,404
2018-06-08,393
2018-06-11,337
2018-06-12,332
2018-06-13,351
2018-06-14,403
2018-06-15,342
2018-06-18,280
2018-06-19,535
2018-06-20,453
2018-06-21,513
2018-06-22,521
2018-06-25,920
2018-06-26,487
2018-06-27,477
2018-06-28,470
2018-06-29,577
2018-07-02,386
2018-07-03,373
2018-07-04,327
2018-07-05,367
2018-07-06,414
2018-07-09,304
2018-07-10,284
2018-07-11,422
2018-07-12,345
2018-07-13,323
2018-07-16,436
2018-07-17,453
2018-07-18,350
2018-07-19,295
2018-07-20,320
2018-07-23,407
2018-07-24,328
2018-07-25,318
2018-07-26,375
2018-07-27,489
2018-07-30,387
2018-07-31,265
2018-08-01,405
2018-08-02,375
2018-08-03,380
2018-08-06,790
2018-08-07,309
2018-08-08,292
2018-08-09,303
2018-08-10,373
2018-08-13,308
2018-08-14,413
2018-08-15,161
2018-08-16,391
2018-08-17,517
2018-08-20,407
2018-08-21,435
2018-08-22,435
2018-08-23,358
2018-08-24,1978
2018-08-27,440
2018-08-28,425
2018-08-29,467
2018-08-30,650
2018-08-31,521
2018-09-03,488
2018-09-04,408
2018-09-05,459
2018-09-06,521
2018-09-07,484
2018-09-10,345
2018-09-11,335
2018-09-12,439
2018-09-13,311
2018-09-14,526
2018-09-17,327
2018-09-18,376
2018-09-19,376
2018-09-20,346
2018-09-21,494
2018-09-24,1305
2018-09-25,400
2018-09-26,350
2018-09-27,391
2018-09-28,629
2018-10-01,388
2018-10-02,303
2018-10-03,234
2018-10-04,311
2018-10-05,269
2018-10-08,307
2018-10-09,309
2018-10-10,356
2018-10-11,393
2018-10-12,338
2018-10-15,330
2018-10-16,331
2018-10-17,226
2018-10-18,199
2018-10-19,301
2018-10-22,334
2018-10-23,286
2018-10-24,547
2018-10-25,337
2018-10-26,353
2018-10-29,341
2018-10-30,348
2018-10-31,362
2018-11-01,355
2018-11-02,338
2018-11-05,429
2018-11-06,293
2018-11-07,296
2018-11-08,214
2018-11-09,389
2018-11-12,287
2018-11-13,513
2018-11-14,356
2018-11-15,539
2018-11-16,576
2018-11-19,469
2018-11-20,300
2018-11-21,594
2018-11-22,312
2018-11-23,292
2018-11-26,389
2018-11-27,536
2018-11-28,688
2018-11-29,896
2018-11-30,762
2018-12-03,616
2018-12-04,394
