Date,ADAS,HFR Equity Hedge Index
2016-10-27,110.439784971,98.6788644288
2016-10-28,110.539571031,98.5480503494
2016-10-29,110.539571031,98.5480503494
2016-10-30,110.539571031,98.5480503494
2016-10-31,110.59916451,98.4761459216
2016-11-01,110.719210301,98.1287522405
2016-11-02,110.512401971,97.6488118432
2016-11-03,110.142325443,97.2251821423
2016-11-04,110.305061049,97.1801335852
2016-11-05,110.305061049,97.1801335852
2016-11-06,110.305061049,97.1801335852
2016-11-07,110.53182731,97.9312316438
2016-11-08,111.057936947,97.9910076139
2016-11-09,110.841304834,98.6702012447
2016-11-10,112.279188806,99.5711723876
2016-11-11,111.311453729,99.2497682587
2016-11-12,111.311453729,99.2497682587
2016-11-13,111.311453729,99.2497682587
2016-11-14,112.320246017,99.3493948755
2016-11-15,113.539871844,99.4680804972
2016-11-16,114.397798442,99.3060789552
2016-11-17,114.199673949,99.3745181093
2016-11-18,115.184844902,99.4819415917
2016-11-19,115.184844902,99.4819415917
2016-11-20,115.184844902,99.4819415917
2016-11-21,115.64159188,99.5564449747
2016-11-22,115.800983874,99.6179535816
2016-11-23,116.739547077,99.5469154723
2016-11-24,116.739547077,99.5469154723
2016-11-25,117.675326014,99.8951754718
2016-11-26,117.675326014,99.8951754718
2016-11-27,117.675326014,99.8951754718
2016-11-28,117.747163546,99.6595368652
2016-11-29,117.739941846,99.6768632333
2016-11-30,118.200920694,99.9202987056
2016-12-01,117.614027902,99.8596564171
2016-12-02,117.462318824,99.661269502
2016-12-03,117.462318824,99.661269502
2016-12-04,117.462318824,99.661269502
2016-12-05,117.71819859,99.9454219394
2016-12-06,118.734429279,100.203584825
2016-12-07,120.23492046,100.522389999
2016-12-08,121.205131665,100.792681342
2016-12-09,121.512558097,100.821269849
2016-12-10,121.512558097,100.821269849
2016-12-11,121.512558097,100.821269849
2016-12-12,121.628352415,100.598626018
2016-12-13,122.278679695,100.914832236
2016-12-14,123.833619554,100.391575918
2016-12-15,122.132023157,100.581299649
2016-12-16,122.145373744,100.664466216
2016-12-17,122.145373744,100.664466216
2016-12-18,122.145373744,100.664466216
2016-12-19,122.249147554,100.375982187
2016-12-20,122.723247513,100.627214525
2016-12-21,122.333762014,100.419298107
2016-12-22,121.361488505,100.112621391
2016-12-23,121.330159937,100.253831291
2016-12-24,121.330159937,100.253831291
2016-12-25,121.330159937,100.253831291
2016-12-26,121.330159937,100.253831291
2016-12-27,122.069851543,100.202718505
2016-12-28,122.491070106,100.019925321
2016-12-29,121.668052597,100.051112784
2016-12-30,122.556238775,100.099626615
2016-12-31,122.556238775,100.099626615
2017-01-01,122.556238775,100.099626615
2017-01-02,122.556238775,100.099626615
2017-01-03,121.855491472,100.369917958
2017-01-04,122.43949793,100.875847907
2017-01-05,123.180240508,100.941688106
2017-01-06,123.063101541,100.764959151
2017-01-07,123.063101541,100.764959151
2017-01-08,123.063101541,100.764959151
2017-01-09,123.571272652,100.755429649
2017-01-10,123.506060038,100.894040594
2017-01-11,123.437068648,101.1955194
2017-01-12,124.048239267,101.040448405
2017-01-13,123.507278977,101.23363741
2017-01-14,123.507278977,101.23363741
2017-01-15,123.507278977,101.23363741
2017-01-16,123.507278977,101.23363741
2017-01-17,123.38038849,100.873248953
2017-01-18,123.064564269,100.926960694
2017-01-19,122.871120371,100.90183746
2017-01-20,123.09101496,100.929559649
2017-01-21,123.09101496,100.929559649
2017-01-22,123.09101496,100.929559649
2017-01-23,123.094427992,100.758894923
2017-01-24,123.180606252,101.1955194
2017-01-25,123.243868562,101.649470245
2017-01-26,122.83759984,101.667662932
2017-01-27,123.130873991,101.452815967
2017-01-28,123.130873991,101.452815967
2017-01-29,123.130873991,101.452815967
2017-01-30,123.319929681,100.985004027
2017-01-31,123.458521869,100.946886017
2017-02-01,122.818218891,101.1955194
2017-02-02,122.647447055,101.100224375
2017-02-03,122.271895314,101.523854076
2017-02-04,122.271895314,101.523854076
2017-02-05,122.271895314,101.523854076
2017-02-06,122.952544764,101.340194574
2017-02-07,122.527992102,101.289948106
2017-02-08,122.658051735,101.261359599
2017-02-09,122.349662925,101.583630046
2017-02-10,122.111484371,101.854787707
2017-02-11,122.111484371,101.854787707
2017-02-12,122.111484371,101.854787707
2017-02-13,122.919633704,102.054040941
2017-02-14,123.216198931,102.385840891
2017-02-15,123.534582988,102.684720741
2017-02-16,123.973518921,102.475938005
2017-02-17,124.223033544,102.388439846
2017-02-18,124.223033544,102.388439846
2017-02-19,124.223033544,102.388439846
2017-02-20,124.223033544,102.388439846
2017-02-21,124.26715868,102.508858105
2017-02-22,124.433908075,102.496729647
2017-02-23,124.611140231,102.271486861
2017-02-24,124.42269395,102.072233627
2017-02-25,124.42269395,102.072233627
2017-02-26,124.42269395,102.072233627
2017-02-27,124.54885295,102.32606492
2017-02-28,124.891371773,102.127678005
2017-03-01,123.758743781,102.89696875
2017-03-02,125.12357757,102.737566163
2017-03-03,122.294323589,102.911696163
2017-03-04,122.294323589,102.911696163
2017-03-05,122.294323589,102.911696163
2017-03-06,122.409512289,102.634474273
2017-03-07,122.40695254,102.449948452
2017-03-08,122.692547393,102.540911885
2017-03-09,121.622937985,102.414429398
2017-03-10,122.122576614,102.629276363
2017-03-11,122.122576614,102.629276363
2017-03-12,122.122576614,102.629276363
2017-03-13,122.623677959,102.673458602
2017-03-14,122.81370885,102.525318154
2017-03-15,122.452906136,103.067633477
2017-03-16,123.574076153,103.106617805
2017-03-17,122.977410895,103.043376561
2017-03-18,122.977410895,103.043376561
2017-03-19,122.977410895,103.043376561
2017-03-20,124.616381612,102.955012084
2017-03-21,125.160998722,102.429156811
2017-03-22,124.259357588,102.329530194
2017-03-23,124.66075066,102.496729646
2017-03-24,123.830660628,102.436087358
2017-03-25,123.830660628,102.436087358
2017-03-26,123.830660628,102.436087358
2017-03-27,124.015450089,102.32086701
2017-03-28,123.654769244,102.438686313
2017-03-29,123.84918827,102.709843974
2017-03-30,124.112232942,102.78261472
2017-03-31,124.009477344,102.799941088
2017-04-01,124.009477344,102.799941088
2017-04-02,124.009477344,102.799941088
2017-04-03,124.861386218,102.574698302
2017-04-04,124.354433924,102.511457058
2017-04-05,123.597967254,102.445616859
2017-04-06,123.338213658,102.605019446
2017-04-07,123.923177252,102.595489944
2017-04-08,123.923177252,102.595489944
2017-04-09,123.923177252,102.595489944
2017-04-10,123.625149309,102.614548949
2017-04-11,123.946946275,102.523585516
2017-04-12,124.817992322,102.440418949
2017-04-13,124.598341545,102.230769895
2017-04-14,124.598341545,102.230769895
2017-04-15,124.598341545,102.230769895
2017-04-16,124.598341545,102.230769895
2017-04-17,123.81518015,102.455146362
2017-04-18,124.382469298,102.255893128
2017-04-19,123.524465847,102.283615317
2017-04-20,123.712790173,102.636206909
2017-04-21,124.176104783,102.579896213
2017-04-22,124.176104783,102.579896213
2017-04-23,124.176104783,102.579896213
2017-04-24,124.000700975,103.240030839
2017-04-25,124.56506479,103.635938351
2017-04-26,124.998881298,103.630740441
